timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,grpThreads,allThreads,URL,Latency,Encoding,SampleCount,ErrorCount,Connect
1545054740837,284,Post revisão de seleção,200,OK,Thread Group 1-14,text,true,,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,93,UTF-8,1,0,0
1545054740813,329,Post seleção de disciplinas,200,OK,Thread Group 1-10,text,true,,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,137,UTF-8,1,0,0
1545054740891,276,Post revisão de seleção,200,OK,Thread Group 1-9,text,true,,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,109,UTF-8,1,0,0
1545054740937,251,Post revisão de seleção,200,OK,Thread Group 1-2,text,true,,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,132,UTF-8,1,0,0
1545054740857,369,Post seleção de disciplinas,200,OK,Thread Group 1-6,text,true,,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,103,UTF-8,1,0,0
1545054741143,195,Post revisão de seleção,200,OK,Thread Group 1-10,text,true,,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,92,UTF-8,1,0,0
1545054741227,186,Post revisão de seleção,200,OK,Thread Group 1-6,text,true,,100,100,https://homologacao.ufms.br/siscad/matricula/selecoes/erro,80,UTF-8,1,0,0
1545054741032,995,Logout,200,OK,Thread Group 1-11,text,true,,100,100,https://homologacao.ufms.br/siscad/,867,UTF-8,1,0,0
1545054734873,7183,Tentativa de Login,200,OK,Thread Group 1-60,text,true,,99,99,https://homologacao.ufms.br/siscad/academico,5063,UTF-8,1,0,0
1545054741168,899,Logout,200,OK,Thread Group 1-9,text,true,,99,99,https://homologacao.ufms.br/siscad/,733,UTF-8,1,0,0
1545054741188,887,Logout,200,OK,Thread Group 1-2,text,true,,98,98,https://homologacao.ufms.br/siscad/,717,UTF-8,1,0,0
1545054741103,1030,Logout,200,OK,Thread Group 1-1,text,true,,97,97,https://homologacao.ufms.br/siscad/,909,UTF-8,1,0,0
1545054734873,7292,Tentativa de Login,200,OK,Thread Group 1-83,text,true,,96,96,https://homologacao.ufms.br/siscad/academico,4937,UTF-8,1,0,0
1545054741118,1049,Logout,200,OK,Thread Group 1-4,text,true,,96,96,https://homologacao.ufms.br/siscad/,897,UTF-8,1,0,0
1545054741112,1062,Logout,200,OK,Thread Group 1-3,text,true,,95,95,https://homologacao.ufms.br/siscad/,904,UTF-8,1,0,0
1545054740995,1205,Logout,200,OK,Thread Group 1-12,text,true,,94,94,https://homologacao.ufms.br/siscad/,1084,UTF-8,1,0,0
1545054741121,1127,Logout,200,OK,Thread Group 1-13,text,true,,93,93,https://homologacao.ufms.br/siscad/,958,UTF-8,1,0,0
1545054741121,1142,Logout,200,OK,Thread Group 1-14,text,true,,92,92,https://homologacao.ufms.br/siscad/,960,UTF-8,1,0,0
1545054741413,872,Logout,200,OK,Thread Group 1-6,text,true,,91,91,https://homologacao.ufms.br/siscad/,691,UTF-8,1,0,0
