timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname
1545054740246,311,POST dados básicos da matrícula,200,OK,Thread Group 1-13,true,,14870,100,100,134,1,0,CPCG-150518
1545054740283,281,POST dados básicos da matrícula,200,OK,Thread Group 1-8,true,,14870,100,100,99,1,0,CPCG-150518
1545054740302,269,POST dados básicos da matrícula,200,OK,Thread Group 1-4,true,,14870,100,100,97,1,0,CPCG-150518
1545054740279,292,POST dados básicos da matrícula,200,OK,Thread Group 1-3,true,,14870,100,100,95,1,0,CPCG-150518
1545054740238,341,GET dados básicos da matrícula,200,OK,Thread Group 1-6,false,Não conseguiu acessar tela de matrícula,14870,100,100,92,1,1,CPCG-150518
1545054740323,261,POST dados básicos da matrícula,200,OK,Thread Group 1-14,true,,14869,100,100,129,1,0,CPCG-150518
1545054740413,221,POST dados básicos da matrícula,200,OK,Thread Group 1-9,true,,14869,100,100,86,1,0,CPCG-150518
1545054740404,252,POST dados básicos da matrícula,200,OK,Thread Group 1-2,true,,14870,100,100,96,1,0,CPCG-150518
1545054740497,241,Post seleção de disciplinas,200,OK,Thread Group 1-12,true,,14869,100,100,104,1,0,CPCG-150518
1545054740478,268,Post seleção de disciplinas,200,OK,Thread Group 1-11,true,,14869,100,100,99,1,0,CPCG-150518
1545054740520,259,Post seleção de disciplinas,200,OK,Thread Group 1-1,true,,14869,100,100,116,1,0,CPCG-150518
1545054740558,236,Post seleção de disciplinas,200,OK,Thread Group 1-13,true,,14869,100,100,99,1,0,CPCG-150518
1545054740565,232,Post seleção de disciplinas,200,OK,Thread Group 1-8,true,,14869,100,100,93,1,0,CPCG-150518
1545054740334,478,POST dados básicos da matrícula,200,OK,Thread Group 1-10,true,,14870,100,100,309,1,0,CPCG-150518
1545054740572,256,Post seleção de disciplinas,200,OK,Thread Group 1-3,true,,14869,100,100,111,1,0,CPCG-150518
1545054740572,260,Post seleção de disciplinas,200,OK,Thread Group 1-4,true,,14869,100,100,92,1,0,CPCG-150518
1545054740585,251,Post seleção de disciplinas,200,OK,Thread Group 1-14,true,,14869,100,100,104,1,0,CPCG-150518
1545054740580,275,POST dados básicos da matrícula,200,OK,Thread Group 1-6,true,,14869,100,100,125,1,0,CPCG-150518
1545054740635,255,Post seleção de disciplinas,200,OK,Thread Group 1-9,true,,14870,100,100,134,1,0,CPCG-150518
1545054740656,280,Post seleção de disciplinas,200,OK,Thread Group 1-2,true,,14869,100,100,121,1,0,CPCG-150518
1545054740738,256,Post revisão de seleção,200,OK,Thread Group 1-12,true,,14869,100,100,95,1,0,CPCG-150518
1545054740747,284,Post revisão de seleção,200,OK,Thread Group 1-11,true,,14870,100,100,112,1,0,CPCG-150518
1545054740797,261,Post revisão de seleção,200,OK,Thread Group 1-8,true,,14869,100,100,95,1,0,CPCG-150518
1545054740780,322,Post revisão de seleção,200,OK,Thread Group 1-1,true,,14870,100,100,113,1,0,CPCG-150518
1545054740829,282,Post revisão de seleção,200,OK,Thread Group 1-3,true,,14870,100,100,100,1,0,CPCG-150518
1545054740833,285,Post revisão de seleção,200,OK,Thread Group 1-4,true,,14870,100,100,106,1,0,CPCG-150518
1545054740795,325,Post revisão de seleção,200,OK,Thread Group 1-13,true,,14870,100,100,133,1,0,CPCG-150518
1545054740837,284,Post revisão de seleção,200,OK,Thread Group 1-14,true,,14870,100,100,93,1,0,CPCG-150518
1545054740813,329,Post seleção de disciplinas,200,OK,Thread Group 1-10,true,,14870,100,100,137,1,0,CPCG-150518
1545054740891,276,Post revisão de seleção,200,OK,Thread Group 1-9,true,,14870,100,100,109,1,0,CPCG-150518
1545054740937,251,Post revisão de seleção,200,OK,Thread Group 1-2,true,,14870,100,100,132,1,0,CPCG-150518
1545054740857,369,Post seleção de disciplinas,200,OK,Thread Group 1-6,true,,14870,100,100,103,1,0,CPCG-150518
1545054741143,195,Post revisão de seleção,200,OK,Thread Group 1-10,true,,14869,100,100,92,1,0,CPCG-150518
1545054741227,186,Post revisão de seleção,200,OK,Thread Group 1-6,true,,14869,100,100,80,1,0,CPCG-150518
1545054741032,995,Logout,200,OK,Thread Group 1-11,true,,81950,100,100,867,1,0,CPCG-150518
1545054734873,7183,Tentativa de Login,200,OK,Thread Group 1-60,true,,508687,99,99,5063,1,0,CPCG-150518
1545054741168,899,Logout,200,OK,Thread Group 1-9,true,,81950,99,99,733,1,0,CPCG-150518
1545054741188,887,Logout,200,OK,Thread Group 1-2,true,,81950,98,98,717,1,0,CPCG-150518
1545054741103,1030,Logout,200,OK,Thread Group 1-1,true,,81950,97,97,909,1,0,CPCG-150518
1545054734873,7292,Tentativa de Login,200,OK,Thread Group 1-83,true,,508688,96,96,4937,1,0,CPCG-150518
1545054741118,1049,Logout,200,OK,Thread Group 1-4,true,,81950,96,96,897,1,0,CPCG-150518
1545054741112,1062,Logout,200,OK,Thread Group 1-3,true,,81949,95,95,904,1,0,CPCG-150518
1545054740995,1205,Logout,200,OK,Thread Group 1-12,true,,81951,94,94,1084,1,0,CPCG-150518
1545054741121,1127,Logout,200,OK,Thread Group 1-13,true,,81951,93,93,958,1,0,CPCG-150518
1545054741121,1142,Logout,200,OK,Thread Group 1-14,true,,81951,92,92,960,1,0,CPCG-150518
1545054741413,872,Logout,200,OK,Thread Group 1-6,true,,81951,91,91,691,1,0,CPCG-150518
1545054742059,276,GET dados básicos da matrícula,200,OK,Thread Group 1-60,false,Não conseguiu acessar tela de matrícula,14870,90,90,125,1,1,CPCG-150518
1545054741339,1005,Logout,200,OK,Thread Group 1-10,true,,81950,90,90,879,1,0,CPCG-150518
1545054742167,249,GET dados básicos da matrícula,200,OK,Thread Group 1-83,false,Não conseguiu acessar tela de matrícula,14869,89,89,110,1,1,CPCG-150518
1545054742335,183,POST dados básicos da matrícula,200,OK,Thread Group 1-60,true,,14869,89,89,83,1,0,CPCG-150518
1545054742416,182,POST dados básicos da matrícula,200,OK,Thread Group 1-83,true,,14869,89,89,80,1,0,CPCG-150518
1545054742519,184,Post seleção de disciplinas,200,OK,Thread Group 1-60,true,,14869,89,89,81,1,0,CPCG-150518
1545054742599,199,Post seleção de disciplinas,200,OK,Thread Group 1-83,true,,14869,89,89,84,1,0,CPCG-150518
1545054734879,8031,Tentativa de Login,200,OK,Thread Group 1-62,true,,508696,89,89,5814,1,0,CPCG-150518
1545054742703,221,Post revisão de seleção,200,OK,Thread Group 1-60,true,,14869,89,89,88,1,0,CPCG-150518
1545054742798,255,Post revisão de seleção,200,OK,Thread Group 1-83,true,,14869,89,89,87,1,0,CPCG-150518
1545054742911,207,GET dados básicos da matrícula,200,OK,Thread Group 1-62,false,Não conseguiu acessar tela de matrícula,14869,89,89,88,1,1,CPCG-150518
1545054743119,206,POST dados básicos da matrícula,200,OK,Thread Group 1-62,true,,14869,89,89,97,1,0,CPCG-150518
1545054741059,2390,Logout,200,OK,Thread Group 1-8,true,,81952,89,89,2228,1,0,CPCG-150518
1545054742925,561,Logout,200,OK,Thread Group 1-60,true,,81950,88,88,430,1,0,CPCG-150518
1545054743326,230,Post seleção de disciplinas,200,OK,Thread Group 1-62,true,,14869,87,87,116,1,0,CPCG-150518
1545054743557,222,Post revisão de seleção,200,OK,Thread Group 1-62,true,,14869,87,87,88,1,0,CPCG-150518
1545054743053,777,Logout,200,OK,Thread Group 1-83,true,,81951,87,87,635,1,0,CPCG-150518
1545054735168,8704,Tentativa de Login,200,OK,Thread Group 1-16,true,,508694,86,86,6674,1,0,CPCG-150518
1545054743873,210,GET dados básicos da matrícula,200,OK,Thread Group 1-16,false,Não conseguiu acessar tela de matrícula,14870,86,86,94,1,1,CPCG-150518
1545054735254,8984,Tentativa de Login,200,OK,Thread Group 1-20,true,,508687,86,86,6786,1,0,CPCG-150518
1545054744084,220,POST dados básicos da matrícula,200,OK,Thread Group 1-16,true,,14869,86,86,92,1,0,CPCG-150518
1545054735256,9100,Tentativa de Login,200,OK,Thread Group 1-89,true,,508687,86,86,7045,1,0,CPCG-150518
1545054744240,377,GET dados básicos da matrícula,200,OK,Thread Group 1-20,false,Não conseguiu acessar tela de matrícula,14869,86,86,113,1,1,CPCG-150518
1545054744358,306,GET dados básicos da matrícula,200,OK,Thread Group 1-89,false,Não conseguiu acessar tela de matrícula,14870,86,86,107,1,1,CPCG-150518
1545054744304,345,Post seleção de disciplinas,200,OK,Thread Group 1-16,true,,14869,86,86,127,1,0,CPCG-150518
1545054743779,893,Logout,200,OK,Thread Group 1-62,true,,81951,86,86,631,1,0,CPCG-150518
1545054744618,218,POST dados básicos da matrícula,200,OK,Thread Group 1-20,true,,14869,85,85,105,1,0,CPCG-150518
1545054744670,203,Post revisão de seleção,200,OK,Thread Group 1-16,true,,14869,85,85,94,1,0,CPCG-150518
1545054744669,218,POST dados básicos da matrícula,200,OK,Thread Group 1-89,true,,14869,85,85,91,1,0,CPCG-150518
1545054735090,9945,Tentativa de Login,200,OK,Thread Group 1-98,true,,508740,85,85,7744,1,0,CPCG-150518
1545054744836,224,Post seleção de disciplinas,200,OK,Thread Group 1-20,true,,14869,85,85,91,1,0,CPCG-150518
1545054744888,208,Post seleção de disciplinas,200,OK,Thread Group 1-89,true,,14869,85,85,92,1,0,CPCG-150518
