timeStamp;elapsed;label;responseCode;responseMessage;threadName;success;failureMessage;bytes;grpThreads;allThreads;Latency;SampleCount;ErrorCount;Hostname;;;
1544780000000;27740;Get Página Inicial;200;OK;Thread Group 1-37;true;;144849;200;200;9014;1;0;CPCG-150518;;;
1544780000000;28075;Get Página Inicial;200;OK;Thread Group 1-29;true;;145087;200;200;11740;1;0;CPCG-150518;;;
1544780000000;27891;Get Página Inicial;200;OK;Thread Group 1-96;true;;144957;200;200;8874;1;0;CPCG-150518;;;
1544780000000;27865;Get Página Inicial;200;OK;Thread Group 1-115;true;;144864;200;200;7300;1;0;CPCG-150518;;;
1544780000000;28157;Get Página Inicial;200;OK;Thread Group 1-62;true;;144958;200;200;7433;1;0;CPCG-150518;;;
1544780000000;28242;Get Página Inicial;200;OK;Thread Group 1-149;true;;144812;200;200;7266;1;0;CPCG-150518;;;
1544780000000;28335;Get Página Inicial;200;OK;Thread Group 1-143;true;;144850;200;200;7043;1;0;CPCG-150518;;;
1544780000000;29277;Get Página Inicial;200;OK;Thread Group 1-43;true;;145009;200;200;7413;1;0;CPCG-150518;;;
1544780000000;28792;Get Página Inicial;200;OK;Thread Group 1-167;true;;144972;200;200;11201;1;0;CPCG-150518;;;
1544780000000;29516;Get Página Inicial;200;OK;Thread Group 1-55;true;;145063;200;200;10473;1;0;CPCG-150518;;;
1544780000000;29395;Get Página Inicial;200;OK;Thread Group 1-87;true;;144884;200;200;9031;1;0;CPCG-150518;;;
1544780000000;30811;Get Página Inicial;200;OK;Thread Group 1-21;true;;144858;200;200;8947;1;0;CPCG-150518;;;
1544780000000;30999;Get Página Inicial;200;OK;Thread Group 1-40;true;;145005;200;200;7542;1;0;CPCG-150518;;;
1544780000000;30940;Get Página Inicial;200;OK;Thread Group 1-28;true;;144973;200;200;11618;1;0;CPCG-150518;;;
1544780000000;30895;Get Página Inicial;200;OK;Thread Group 1-80;true;;144938;200;200;8628;1;0;CPCG-150518;;;
1544780000000;31066;Get Página Inicial;200;OK;Thread Group 1-54;true;;144829;200;200;8979;1;0;CPCG-150518;;;
1544780000000;31057;Get Página Inicial;200;OK;Thread Group 1-17;true;;144999;200;200;9034;1;0;CPCG-150518;;;
1544780000000;31072;Get Página Inicial;200;OK;Thread Group 1-51;true;;144775;200;200;9030;1;0;CPCG-150518;;;
1544780000000;30787;Get Página Inicial;200;OK;Thread Group 1-147;true;;144987;200;200;7125;1;0;CPCG-150518;;;
1544780000000;31257;Get Página Inicial;200;OK;Thread Group 1-16;true;;144870;200;200;9028;1;0;CPCG-150518;;;
1544780000000;31160;Get Página Inicial;200;OK;Thread Group 1-73;true;;145111;200;200;8917;1;0;CPCG-150518;;;
1544780000000;30746;Get Página Inicial;200;OK;Thread Group 1-163;true;;144808;200;200;8492;1;0;CPCG-150518;;;
1544780000000;30949;Get Página Inicial;200;OK;Thread Group 1-132;true;;144785;200;200;8146;1;0;CPCG-150518;;;
1544780000000;30659;Get Página Inicial;200;OK;Thread Group 1-194;true;;144837;200;200;8322;1;0;CPCG-150518;;;
1544780000000;31243;Get Página Inicial;200;OK;Thread Group 1-72;true;;144969;200;200;11656;1;0;CPCG-150518;;;
1544780000000;30786;Get Página Inicial;200;OK;Thread Group 1-197;true;;145014;200;200;8281;1;0;CPCG-150518;;;
1544780000000;30774;Get Página Inicial;200;OK;Thread Group 1-200;true;;144727;200;200;11032;1;0;CPCG-150518;;;
1544780000000;30871;Get Página Inicial;200;OK;Thread Group 1-185;true;;144752;200;200;10998;1;0;CPCG-150518;;;
1544780000000;31535;Get Página Inicial;200;OK;Thread Group 1-33;true;;144669;200;200;8480;1;0;CPCG-150518;;;
1544780000000;31544;Get Página Inicial;200;OK;Thread Group 1-60;true;;145002;200;200;8969;1;0;CPCG-150518;;;
1544780000000;31076;Get Página Inicial;200;OK;Thread Group 1-160;true;;144785;200;200;8504;1;0;CPCG-150518;;;
1544780000000;31232;Get Página Inicial;200;OK;Thread Group 1-128;true;;144912;200;200;6306;1;0;CPCG-150518;;;
1544780000000;31575;Get Página Inicial;200;OK;Thread Group 1-22;true;;144663;200;200;7551;1;0;CPCG-150518;;;
1544780000000;31013;Get Página Inicial;200;OK;Thread Group 1-184;true;;144920;200;200;9964;1;0;CPCG-150518;;;
1544780000000;31614;Get Página Inicial;200;OK;Thread Group 1-63;true;;144848;200;200;7469;1;0;CPCG-150518;;;
1544780000000;31505;Get Página Inicial;200;OK;Thread Group 1-92;true;;145161;200;200;10952;1;0;CPCG-150518;;;
1544780000000;31452;Get Página Inicial;200;OK;Thread Group 1-117;true;;144949;200;200;8209;1;0;CPCG-150518;;;
1544780000000;31336;Get Página Inicial;200;OK;Thread Group 1-148;true;;145076;200;200;7053;1;0;CPCG-150518;;;
1544780000000;31396;Get Página Inicial;200;OK;Thread Group 1-137;true;;144929;200;200;7147;1;0;CPCG-150518;;;
1544780000000;31778;Get Página Inicial;200;OK;Thread Group 1-27;true;;144739;200;200;11110;1;0;CPCG-150518;;;
1544780000000;31163;Get Página Inicial;200;OK;Thread Group 1-193;true;;144976;200;200;9354;1;0;CPCG-150518;;;
1544780000000;31369;Get Página Inicial;200;OK;Thread Group 1-151;true;;144655;200;200;6968;1;0;CPCG-150518;;;
1544780000000;31634;Get Página Inicial;200;OK;Thread Group 1-95;true;;144856;200;200;8525;1;0;CPCG-150518;;;
1544780000000;31416;Get Página Inicial;200;OK;Thread Group 1-142;true;;144733;200;200;7075;1;0;CPCG-150518;;;
1544780000000;31536;Get Página Inicial;200;OK;Thread Group 1-120;true;;144684;200;200;10946;1;0;CPCG-150518;;;
1544780000000;31800;Get Página Inicial;200;OK;Thread Group 1-23;true;;144642;200;200;7512;1;0;CPCG-150518;;;
1544780000000;31596;Get Página Inicial;200;OK;Thread Group 1-114;true;;144960;200;200;7249;1;0;CPCG-150518;;;
1544780000000;32103;Get Página Inicial;200;OK;Thread Group 1-8;true;;144749;200;200;10559;1;0;CPCG-150518;;;
1544780000000;31596;Get Página Inicial;200;OK;Thread Group 1-166;true;;144914;200;200;10060;1;0;CPCG-150518;;;
1544780000000;31620;Get Página Inicial;200;OK;Thread Group 1-162;true;;144878;200;200;10745;1;0;CPCG-150518;;;
1544780000000;32115;Get Página Inicial;200;OK;Thread Group 1-14;true;;144977;200;200;10419;1;0;CPCG-150518;;;
1544780000000;31573;Get Página Inicial;200;OK;Thread Group 1-172;true;;144892;200;200;8156;1;0;CPCG-150518;;;
1544780000000;31903;Get Página Inicial;200;OK;Thread Group 1-105;true;;144926;200;200;10333;1;0;CPCG-150518;;;
1544780000000;31481;Get Página Inicial;200;OK;Thread Group 1-192;true;;144765;200;200;9883;1;0;CPCG-150518;;;
1544780000000;31893;Get Página Inicial;200;OK;Thread Group 1-106;true;;145005;200;200;10307;1;0;CPCG-150518;;;
1544780000000;31552;Get Página Inicial;200;OK;Thread Group 1-179;true;;144965;200;200;9419;1;0;CPCG-150518;;;
1544780000000;31600;Get Página Inicial;200;OK;Thread Group 1-175;true;;145043;200;200;10703;1;0;CPCG-150518;;;
1544780000000;32163;Get Página Inicial;200;OK;Thread Group 1-12;true;;144920;200;200;10406;1;0;CPCG-150518;;;
1544780000000;32174;Get Página Inicial;200;OK;Thread Group 1-42;true;;144810;200;200;10477;1;0;CPCG-150518;;;
1544780000000;31702;Get Página Inicial;200;OK;Thread Group 1-164;true;;145174;200;200;10053;1;0;CPCG-150518;;;
1544780000000;31921;Get Página Inicial;200;OK;Thread Group 1-119;true;;144834;200;200;8442;1;0;CPCG-150518;;;
1544780000000;32019;Get Página Inicial;200;OK;Thread Group 1-111;true;;144940;200;200;10227;1;0;CPCG-150518;;;
1544780000000;32071;Get Página Inicial;200;OK;Thread Group 1-98;true;;145046;200;200;10046;1;0;CPCG-150518;;;
1544780000000;32216;Get Página Inicial;200;OK;Thread Group 1-15;true;;144917;200;200;11724;1;0;CPCG-150518;;;
1544780000000;32237;Get Página Inicial;200;OK;Thread Group 1-32;true;;144846;200;200;11769;1;0;CPCG-150518;;;
1544780000000;31764;Get Página Inicial;200;OK;Thread Group 1-177;true;;144865;200;200;9430;1;0;CPCG-150518;;;
1544780000000;31712;Get Página Inicial;200;OK;Thread Group 1-190;true;;144779;200;200;9606;1;0;CPCG-150518;;;
1544780000000;31800;Get Página Inicial;200;OK;Thread Group 1-187;true;;145180;200;200;11690;1;0;CPCG-150518;;;
1544780000000;32263;Get Página Inicial;200;OK;Thread Group 1-90;true;;145048;200;200;12332;1;0;CPCG-150518;;;
1544780000000;31881;Get Página Inicial;200;OK;Thread Group 1-170;true;;145102;200;200;9987;1;0;CPCG-150518;;;
1544780000000;32263;Get Página Inicial;200;OK;Thread Group 1-93;true;;144824;200;200;11620;1;0;CPCG-150518;;;
1544780000000;32301;Get Página Inicial;200;OK;Thread Group 1-76;true;;144789;200;200;12288;1;0;CPCG-150518;;;
1544780000000;31831;Get Página Inicial;200;OK;Thread Group 1-186;true;;144890;200;200;9961;1;0;CPCG-150518;;;
1544780000000;32247;Get Página Inicial;200;OK;Thread Group 1-99;true;;144838;200;200;10326;1;0;CPCG-150518;;;
1544780000000;32294;Get Página Inicial;200;OK;Thread Group 1-89;true;;144983;200;200;11666;1;0;CPCG-150518;;;
1544780000000;32463;Get Página Inicial;200;OK;Thread Group 1-38;true;;145070;200;200;11842;1;0;CPCG-150518;;;
1544780000000;32425;Get Página Inicial;200;OK;Thread Group 1-50;true;;145014;200;200;8488;1;0;CPCG-150518;;;
1544780000000;32463;Get Página Inicial;200;OK;Thread Group 1-53;true;;144989;200;200;10460;1;0;CPCG-150518;;;
1544780000000;31978;Get Página Inicial;200;OK;Thread Group 1-157;true;;144904;200;200;9771;1;0;CPCG-150518;;;
1544780000000;31924;Get Página Inicial;200;OK;Thread Group 1-169;true;;144953;200;200;8161;1;0;CPCG-150518;;;
1544780000000;32213;Get Página Inicial;200;OK;Thread Group 1-108;true;;144986;200;200;11003;1;0;CPCG-150518;;;
1544780000000;32135;Get Página Inicial;200;OK;Thread Group 1-124;true;;144834;200;200;9683;1;0;CPCG-150518;;;
1544780000000;32445;Get Página Inicial;200;OK;Thread Group 1-59;true;;145229;200;200;10394;1;0;CPCG-150518;;;
1544780000000;32269;Get Página Inicial;200;OK;Thread Group 1-101;true;;145049;200;200;12298;1;0;CPCG-150518;;;
1544780000000;32142;Get Página Inicial;200;OK;Thread Group 1-129;true;;144736;200;200;11474;1;0;CPCG-150518;;;
1544780000000;32483;Get Página Inicial;200;OK;Thread Group 1-49;true;;144863;200;200;12434;1;0;CPCG-150518;;;
1544780000000;32974;Get Página Inicial;200;OK;Thread Group 1-25;true;;144708;200;200;12360;1;0;CPCG-150518;;;
1544780000000;32507;Get Página Inicial;200;OK;Thread Group 1-158;true;;144944;200;200;9931;1;0;CPCG-150518;;;
1544780000000;32971;Get Página Inicial;200;OK;Thread Group 1-58;true;;145048;200;200;11224;1;0;CPCG-150518;;;
1544780000000;32306;Get Página Inicial;200;OK;Thread Group 1-198;true;;145189;200;200;11758;1;0;CPCG-150518;;;
1544780000000;32800;Get Página Inicial;200;OK;Thread Group 1-94;true;;144985;200;200;10273;1;0;CPCG-150518;;;
1544780000000;32471;Get Página Inicial;200;OK;Thread Group 1-165;true;;145014;200;200;11955;1;0;CPCG-150518;;;
1544780000000;32398;Get Página Inicial;200;OK;Thread Group 1-180;true;;145109;200;200;11879;1;0;CPCG-150518;;;
1544780000000;33028;Get Página Inicial;200;OK;Thread Group 1-35;true;;144861;200;200;12498;1;0;CPCG-150518;;;
1544780000000;32747;Get Página Inicial;200;OK;Thread Group 1-107;true;;144889;200;200;12281;1;0;CPCG-150518;;;
1544780000000;32852;Get Página Inicial;200;OK;Thread Group 1-83;true;;144612;200;200;10263;1;0;CPCG-150518;;;
1544780000000;33979;Get Página Inicial;200;OK;Thread Group 1-74;true;;144784;200;200;8585;1;0;CPCG-150518;;;
1544780000000;34023;Get Página Inicial;200;OK;Thread Group 1-10;true;;144992;200;200;6546;1;0;CPCG-150518;;;
1544780000000;34484;Get Página Inicial;200;OK;Thread Group 1-4;true;;144962;200;200;12496;1;0;CPCG-150518;;;
1544780000000;63257;Get Página Inicial;200;OK;Thread Group 1-75;true;;144805;200;200;12339;1;0;CPCG-150518;;;
1544780000000;63361;Get Página Inicial;200;OK;Thread Group 1-57;true;;145135;200;200;12517;1;0;CPCG-150518;;;
1544780000000;63216;Get Página Inicial;200;OK;Thread Group 1-88;true;;144947;200;200;12420;1;0;CPCG-150518;;;
1544780000000;62779;Get Página Inicial;200;OK;Thread Group 1-181;true;;144780;200;200;12003;1;0;CPCG-150518;;;
1544780000000;62849;Get Página Inicial;200;OK;Thread Group 1-168;true;;144806;200;200;11983;1;0;CPCG-150518;;;
1544780000000;63224;Get Página Inicial;200;OK;Thread Group 1-91;true;;144944;200;200;12460;1;0;CPCG-150518;;;
1544780000000;63372;Get Página Inicial;200;OK;Thread Group 1-13;true;;145099;200;200;12302;1;0;CPCG-150518;;;
1544780000000;62823;Get Página Inicial;200;OK;Thread Group 1-176;true;;145054;200;200;12011;1;0;CPCG-150518;;;
1544780000000;63316;Get Página Inicial;200;OK;Thread Group 1-9;true;;144934;200;200;12503;1;0;CPCG-150518;;;
1544780000000;63208;Get Página Inicial;200;OK;Thread Group 1-97;true;;144898;200;200;12401;1;0;CPCG-150518;;;
1544780000000;62854;Get Página Inicial;200;OK;Thread Group 1-173;true;;144625;200;200;8148;1;0;CPCG-150518;;;
1544780000000;63017;Get Página Inicial;200;OK;Thread Group 1-139;true;;144824;200;200;8464;1;0;CPCG-150518;;;
1544780000000;63337;Get Página Inicial;200;OK;Thread Group 1-70;true;;144788;200;200;8667;1;0;CPCG-150518;;;
1544780000000;63275;Get Página Inicial;200;OK;Thread Group 1-77;true;;144874;200;200;12308;1;0;CPCG-150518;;;
1544780000000;62750;Get Página Inicial;200;OK;Thread Group 1-199;true;;144959;200;200;8077;1;0;CPCG-150518;;;
1544780000000;63323;Get Página Inicial;200;OK;Thread Group 1-78;true;;145089;200;200;8650;1;0;CPCG-150518;;;
1544780000000;63436;Get Página Inicial;200;OK;Thread Group 1-39;true;;145005;200;200;12713;1;0;CPCG-150518;;;
1544780000000;62812;Get Página Inicial;200;OK;Thread Group 1-188;true;;145025;200;200;11130;1;0;CPCG-150518;;;
1544780000000;62863;Get Página Inicial;200;OK;Thread Group 1-178;true;;145128;200;200;11885;1;0;CPCG-150518;;;
1544780000000;63443;Get Página Inicial;200;OK;Thread Group 1-24;true;;144770;200;200;11679;1;0;CPCG-150518;;;
1544780000000;63099;Get Página Inicial;200;OK;Thread Group 1-130;true;;145134;200;200;12278;1;0;CPCG-150518;;;
1544780000000;63298;Get Página Inicial;200;OK;Thread Group 1-86;true;;145107;200;200;11544;1;0;CPCG-150518;;;
1544780000000;63368;Get Página Inicial;200;OK;Thread Group 1-36;true;;144841;200;200;12507;1;0;CPCG-150518;;;
1544780000000;63332;Get Página Inicial;200;OK;Thread Group 1-81;true;;145034;200;200;8846;1;0;CPCG-150518;;;
1544780000000;62954;Get Página Inicial;200;OK;Thread Group 1-161;true;;144939;200;200;11176;1;0;CPCG-150518;;;
1544780000000;63061;Get Página Inicial;200;OK;Thread Group 1-140;true;;145116;200;200;8353;1;0;CPCG-150518;;;
1544780000000;63158;Get Página Inicial;200;OK;Thread Group 1-121;true;;144941;200;200;11379;1;0;CPCG-150518;;;
1544780000000;63385;Get Página Inicial;200;OK;Thread Group 1-31;true;;145081;200;200;12526;1;0;CPCG-150518;;;
1544780000000;62861;Get Página Inicial;200;OK;Thread Group 1-183;true;;144810;200;200;8271;1;0;CPCG-150518;;;
1544780000000;63343;Get Página Inicial;200;OK;Thread Group 1-82;true;;144901;200;200;12473;1;0;CPCG-150518;;;
1544780000000;63324;Get Página Inicial;200;OK;Thread Group 1-85;true;;144831;200;200;11575;1;0;CPCG-150518;;;
1544780000000;63309;Get Página Inicial;200;OK;Thread Group 1-100;true;;144919;200;200;11424;1;0;CPCG-150518;;;
1544780000000;63539;Get Página Inicial;200;OK;Thread Group 1-56;true;;144947;200;200;11527;1;0;CPCG-150518;;;
1544780000000;31589;Tentativa de Login;200;OK;Thread Group 1-76;false;Não conseguiu logar no sistema;81505;200;200;30611;1;1;CPCG-150518;;;
1544780000000;31574;Tentativa de Login;200;OK;Thread Group 1-89;false;Não conseguiu logar no sistema;81505;200;200;30607;1;1;CPCG-150518;;;
1544780000000;31555;Tentativa de Login;200;OK;Thread Group 1-124;false;Não conseguiu logar no sistema;81505;200;200;30582;1;1;CPCG-150518;;;
1544780000000;31601;Tentativa de Login;200;OK;Thread Group 1-99;false;Não conseguiu logar no sistema;81505;200;200;30594;1;1;CPCG-150518;;;
1544780000000;31625;Tentativa de Login;200;OK;Thread Group 1-93;false;Não conseguiu logar no sistema;81506;200;200;30636;1;1;CPCG-150518;;;
1544780000000;32814;Tentativa de Login;200;OK;Thread Group 1-132;false;Não conseguiu logar no sistema;81507;200;200;31830;1;1;CPCG-150518;;;
1544780000000;38853;Tentativa de Login;500;Internal Server Error;Thread Group 1-122;false;Não conseguiu logar no sistema;2386;200;200;38851;1;1;CPCG-150518;;;
1544780000000;31719;Tentativa de Login;200;OK;Thread Group 1-186;false;Não conseguiu logar no sistema;81505;200;200;30617;1;1;CPCG-150518;;;
1544780000000;32601;Tentativa de Login;200;OK;Thread Group 1-60;false;Não conseguiu logar no sistema;81506;200;200;31544;1;1;CPCG-150518;;;
1544780000000;31690;Tentativa de Login;200;OK;Thread Group 1-129;false;Não conseguiu logar no sistema;81505;200;200;30563;1;1;CPCG-150518;;;
1544780000000;31877;Tentativa de Login;200;OK;Thread Group 1-15;false;Não conseguiu logar no sistema;81504;200;200;30711;1;1;CPCG-150518;;;
1544780000000;31743;Tentativa de Login;200;OK;Thread Group 1-50;false;Não conseguiu logar no sistema;81505;200;200;30580;1;1;CPCG-150518;;;
