timeStamp;elapsed;label;responseCode;responseMessage;threadName;success;grpThreads;allThreads;URL;Latency;IdleTime;Connect
1,54E+12;3522;POST dados básicos da matrícula;200;OK;Thread Group 1-29;true;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F2;338;0;0
1,54E+12;3535;POST dados básicos da matrícula;200;OK;Thread Group 1-155;true;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F2;324;0;0
1,54E+12;3563;GET dados básicos da matrícula;200;OK;Thread Group 1-196;false;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F2;375;0;0
1,54E+12;3549;GET dados básicos da matrícula;200;OK;Thread Group 1-147;false;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F2;325;0;0
1,54E+12;3600;GET dados básicos da matrícula;200;OK;Thread Group 1-119;false;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F2;334;0;0
1,54E+12;8683;Post seleção de disciplinas;200;OK;Thread Group 1-1;true;200;200;https://homologacao.ufms.br/siscad/matricula/3;779;0;0
1,54E+12;5386;POST dados básicos da matrícula;200;OK;Thread Group 1-143;true;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F2;97;0;0
1,54E+12;5392;GET dados básicos da matrícula;200;OK;Thread Group 1-20;false;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F2;104;0;0
1,54E+12;5884;Post revisão de seleção;200;OK;Thread Group 1-106;true;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F4;92;0;0
1,54E+12;5880;GET dados básicos da matrícula;200;OK;Thread Group 1-135;false;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F2;132;0;0
1,54E+12;5908;Post revisão de seleção;200;OK;Thread Group 1-190;true;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F4;104;0;0
1,54E+12;5888;Post revisão de seleção;200;OK;Thread Group 1-192;true;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F4;101;0;0
1,54E+12;5887;Post seleção de disciplinas;200;OK;Thread Group 1-109;true;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F3;85;0;0
1,54E+12;5930;POST dados básicos da matrícula;200;OK;Thread Group 1-191;true;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F2;170;0;0
1,54E+12;5489;GET dados básicos da matrícula;200;OK;Thread Group 1-159;false;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F2;332;0;0
1,54E+12;5943;POST dados básicos da matrícula;200;OK;Thread Group 1-96;true;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F2;122;0;0
1,54E+12;39764;Tentativa de Login;200;OK;Thread Group 1-86;false;200;200;https://homologacao.ufms.br/siscad/login;32753;0;1786
1,54E+12;5419;Post seleção de disciplinas;200;OK;Thread Group 1-138;true;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F3;1375;0;946
1,54E+12;39776;Tentativa de Login;200;OK;Thread Group 1-24;false;200;200;https://homologacao.ufms.br/siscad/login;32738;0;1789
1,54E+12;39834;Tentativa de Login;200;OK;Thread Group 1-13;false;200;200;https://homologacao.ufms.br/siscad/login;32789;0;1827
1,54E+12;39691;Tentativa de Login;200;OK;Thread Group 1-56;false;200;200;https://homologacao.ufms.br/siscad/login;32615;0;1780
1,54E+12;5633;Post seleção de disciplinas;200;OK;Thread Group 1-84;true;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F3;235;0;0
1,54E+12;39854;Tentativa de Login;200;OK;Thread Group 1-176;false;200;200;https://homologacao.ufms.br/siscad/login;32800;0;1824
1,54E+12;4154;Post seleção de disciplinas;200;OK;Thread Group 1-69;true;200;200;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F3;708;0;0
1,54E+12;39788;Tentativa de Login;200;OK;Thread Group 1-140;false;200;200;https://homologacao.ufms.br/siscad/login;32745;0;1761
1,54E+12;39798;Tentativa de Login;200;OK;Thread Group 1-121;false;200;200;https://homologacao.ufms.br/siscad/login;32751;0;1790
1,54E+12;14662;Logout;200;OK;Thread Group 1-35;true;200;200;https://homologacao.ufms.br/siscad/;9775;0;0
1,54E+12;39884;Tentativa de Login;200;OK;Thread Group 1-70;false;199;199;https://homologacao.ufms.br/siscad/login;32789;0;1801
1,54E+12;39796;Tentativa de Login;200;OK;Thread Group 1-100;false;199;199;https://homologacao.ufms.br/siscad/login;32666;0;1794
1,54E+12;25824;Logout;200;OK;Thread Group 1-21;true;199;199;https://homologacao.ufms.br/siscad/;20896;0;0
1,54E+12;11964;Logout;200;OK;Thread Group 1-126;true;198;198;https://homologacao.ufms.br/siscad/;7025;0;0
1,54E+12;16413;Logout;200;OK;Thread Group 1-94;true;197;197;https://homologacao.ufms.br/siscad/;11467;0;0
1,54E+12;4627;POST dados básicos da matrícula;200;OK;Thread Group 1-175;true;196;196;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F2;243;0;0
1,54E+12;6087;Post revisão de seleção;200;OK;Thread Group 1-131;true;196;196;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F4;202;0;0
1,54E+12;40200;Tentativa de Login;200;OK;Thread Group 1-57;false;196;196;https://homologacao.ufms.br/siscad/login;33948;0;1541
1,54E+12;6153;Post seleção de disciplinas;200;OK;Thread Group 1-41;true;196;196;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F3;228;0;0
1,54E+12;6091;Post seleção de disciplinas;200;OK;Thread Group 1-37;true;196;196;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F3;299;0;0
1,54E+12;6101;GET dados básicos da matrícula;200;OK;Thread Group 1-111;false;196;196;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F2;346;0;0
1,54E+12;6318;Post revisão de seleção;200;OK;Thread Group 1-169;true;196;196;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F4;99;0;0
1,54E+12;4566;POST dados básicos da matrícula;200;OK;Thread Group 1-28;true;196;196;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F2;655;0;0
1,54E+12;4626;Logout;200;OK;Thread Group 1-63;true;196;196;https://homologacao.ufms.br/siscad/;696;0;0
1,54E+12;6169;Post revisão de seleção;200;OK;Thread Group 1-30;true;195;195;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F4;316;0;0
1,54E+12;40233;Tentativa de Login;200;OK;Thread Group 1-139;false;195;195;https://homologacao.ufms.br/siscad/login;33915;0;1803
1,54E+12;4562;Post revisão de seleção;200;OK;Thread Group 1-98;true;195;195;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F4;700;0;0
1,54E+12;40210;Tentativa de Login;200;OK;Thread Group 1-36;false;195;195;https://homologacao.ufms.br/siscad/login;33898;0;1784
1,54E+12;6176;Post revisão de seleção;200;OK;Thread Group 1-32;true;195;195;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F4;269;0;0
1,54E+12;6166;Post revisão de seleção;200;OK;Thread Group 1-123;true;195;195;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F4;260;0;0
1,54E+12;40286;Tentativa de Login;200;OK;Thread Group 1-168;false;195;195;https://homologacao.ufms.br/siscad/login;33942;0;1820
1,54E+12;6248;Post revisão de seleção;200;OK;Thread Group 1-166;true;195;195;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F4;84;0;0
1,54E+12;4670;Post seleção de disciplinas;200;OK;Thread Group 1-180;true;195;195;https://homologacao.ufms.br/siscad/?redirect=%2Fmatricula%2F3;790;0;0
