timeStamp;elapsed;label;responseCode;responseMessage;threadName;success;failureMessage;grpThreads;allThreads;URL;Latency;SampleCount;ErrorCount;IdleTime;Connect
1,54478E+12;26742;Get Página Inicial;200;OK;Thread Group 1-152;true;;200;200;https://homologacao.ufms.br/siscad/;6198;1;0;0;6014
1,54478E+12;27336;Get Página Inicial;200;OK;Thread Group 1-79;true;;200;200;https://homologacao.ufms.br/siscad/;10271;1;0;0;9646
1,54478E+12;27486;Get Página Inicial;200;OK;Thread Group 1-26;true;;200;200;https://homologacao.ufms.br/siscad/;10447;1;0;0;9782
1,54478E+12;26936;Get Página Inicial;200;OK;Thread Group 1-174;true;;200;200;https://homologacao.ufms.br/siscad/;9908;1;0;0;9234
1,54478E+12;27242;Get Página Inicial;200;OK;Thread Group 1-110;true;;200;200;https://homologacao.ufms.br/siscad/;6472;1;0;0;6228
1,54478E+12;27014;Get Página Inicial;200;OK;Thread Group 1-159;true;;200;200;https://homologacao.ufms.br/siscad/;8809;1;0;0;8697
1,54478E+12;27474;Get Página Inicial;200;OK;Thread Group 1-34;true;;200;200;https://homologacao.ufms.br/siscad/;7387;1;0;0;7263
1,54478E+12;26858;Get Página Inicial;200;OK;Thread Group 1-196;true;;200;200;https://homologacao.ufms.br/siscad/;8528;1;0;0;8441
1,54478E+12;27492;Get Página Inicial;200;OK;Thread Group 1-30;true;;200;200;https://homologacao.ufms.br/siscad/;8470;1;0;0;8199
1,54478E+12;27152;Get Página Inicial;200;OK;Thread Group 1-138;true;;200;200;https://homologacao.ufms.br/siscad/;7454;1;0;0;7344
1,54478E+12;27531;Get Página Inicial;200;OK;Thread Group 1-20;true;;200;200;https://homologacao.ufms.br/siscad/;9140;1;0;0;9060
1,54478E+12;26897;Get Página Inicial;200;OK;Thread Group 1-195;true;;200;200;https://homologacao.ufms.br/siscad/;9804;1;0;0;9120
1,54478E+12;26937;Get Página Inicial;200;OK;Thread Group 1-189;true;;200;200;https://homologacao.ufms.br/siscad/;8408;1;0;0;8040
1,54478E+12;26977;Get Página Inicial;200;OK;Thread Group 1-182;true;;200;200;https://homologacao.ufms.br/siscad/;8353;1;0;0;8072
